id,product_name,brand,price,reviews_count,avg_rate
122,Mesery Bundle OF (4) - No Show Cotton Panties,Mesery,EGP 59.99,88 verified ratings,4/5
123,Beesline Whitening Roll On Deodorant - SUPER DRY- Powder Soft- 50ML,Beesline,EGP 225.00,8 verified ratings,4.8/5
124,Nokia 130 (2017) - 1.8-inch Dual SIM Mobile Phone - Black,Nokia,EGP 549.00,1 verified rating,5/5
125,Dettol Re-Energize Soap - 85g,Dettol,EGP 7.40,183 verified ratings,4.6/5
126,SteriMax Antiseptic Soap - 4 Liter,SteriMax,EGP 99.00,304 verified ratings,4.4/5
127,Me Now Lip Gloss Moist Serum Nourishing And Polishing - Transparent - 3.5 Ml.,Me Now,EGP 46.00,273 verified ratings,4.4/5
128,Nokia 150 - 2.4-inch Dual SIM Mobile Phone - Black,Nokia,EGP 815.04,,
129,Might Cinema Matte Dynamic Liquid Eyeliner - Black - 1.5g,Might Cinema,EGP 45.00,1059 verified ratings,4.2/5
130,Afia Corn Oil - 800ml,Afia,EGP 59.80,40 verified ratings,4.6/5
131,Maxtella Raw Chocolate 150g For Desserts And Cooking Purposes.,Maxtella,EGP 18.00,47 verified ratings,3.8/5
132,Rexona Shower Fresh Antiperspirant Spray - For Women - 150 Ml,Rexona,EGP 42.95,66 verified ratings,4.7/5
133,Chefy Mix Mustard - 1 Kg,Chefy Mix,EGP 33.00,529 verified ratings,4.4/5
134,Starville Whitening Whitening Cleanser - 200ml,Starville Whitening,EGP 100.00,3 verified ratings,5/5
135,Activ Kids Self Pattern Backpack - Green & Black,Activ,EGP 169.00,5 verified ratings,5/5
136,SIME HAIR Leave In Bonding Cream - 100ml,SIME HAIR,EGP 41.00,78 verified ratings,4/5
137,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Rose Scent,Karimed,EGP 99.00,4 verified ratings,4.3/5
138,Manual Scalp Massage,(658 verified ratings),EGP 28.99,658 verified ratings,3.9/5
139,Kesh King Anti-Hair Fall Shampoo - 200 Ml,Kesh King,EGP 97.32,1937 verified ratings,4.3/5
140,Dettol Antiseptic Liquid - 120ML,Dettol,EGP 19.00,54 verified ratings,4.5/5
141,Fairy Ultra Lemon 620 5 LE Off,Fairy,EGP 27.95,21 verified ratings,4.8/5
142,"Pampers Baby Dry Diapers Size 6, Extra Large, 13+ Kg (48 diapers)",Pampers,EGP 165.50,17 verified ratings,5/5
143,Nescafe 3In 1 Gold Instant Coffee - 21g - 12 Pcs,Nescafe,EGP 41.25,66 verified ratings,4.6/5
144,Axe Aerosol Dark Temption Body Spray for Men - 150 ml,Axe,EGP 53.45,637 verified ratings,4.5/5
145,Sunny Cooking and Frying Oil - 750 ml,Sunny,EGP 30.15,72 verified ratings,4.7/5
146,Sunsilk Instant Restore Hair Shampoo – 600ml,Sunsilk,EGP 45.45,34 verified ratings,4.5/5
147,Yollo's Plain Corn Flakes - 30g,Yollo's,EGP 6.00,,
148,Hero Strawberry Jam - 28.3g,Hero,EGP 5.71,13 verified ratings,4/5
149,Seoul Slide Slippers For Women - Black,(9 verified ratings),EGP 58.65,9 verified ratings,4.9/5
150,AM-Shop Bundle OF Six Brief Under Wear Smooth Cotton Hipster Panties,AM-Shop,EGP 109.00 - EGP 119.00,289 verified ratings,3.7/5
151,Gillette Venus Comfort Glide Breeze Shaver With 4 Cartridges For Women,Gillette,EGP 199.00,213 verified ratings,4.6/5
152,ABC Egypt Automatic Powder Detergent - 4 Kg,ABC Egypt,EGP 79.00,3 verified ratings,4.3/5
153,Avuva Body Splash Cherry + Shower Gel - 253ml,Avuva,EGP 118.00,,
154,"Multi-size Stretch Silicone Food Cover, 6 Pieces",(1063 verified ratings),EGP 34.47,1063 verified ratings,3.8/5
155,Knorr Shawerma Mix – 30 gm,Knorr,EGP 5.76,75 verified ratings,4.6/5
156,Karimed Brilliant Touch Shower Gel 1L 3Pcs. Blueberry Scent,Karimed,EGP 99.00,11 verified ratings,4.1/5
157,Discount Nuts Roasted & Salted Cashew  - 500gm,Discount Nuts,EGP 185.00,1935 verified ratings,4.3/5
158,NIVEA Natural Fairness Face & Body Cream For All Skin Types - 100ml,NIVEA,EGP 24.10,570 verified ratings,4.4/5
159,Dettol Original Soap - 85g,Dettol,EGP 6.45,130 verified ratings,4.5/5
160,Al Wedad Two Piece Of Warmer Set With Padded Inside - GRAY,Al Wedad,EGP 74.00 - EGP 150.00,12 verified ratings,4.8/5
161,Rehana Natural Vinegar - 1 Liter,Rehana,EGP 9.00,538 verified ratings,4.5/5
162,Malika Bundle OF Six Printed Underwear - For Women,Malika,EGP 119.00 - EGP 129.00,1152 verified ratings,4.2/5
163,Imtenan Cough Aid - 18 Sachet,Imtenan,EGP 18.00,10 verified ratings,4.5/5
164,Defacto Woman Green T-shirt,Defacto,EGP 136.00,23 verified ratings,4.6/5
165,Lipton Yellow Label Black Tea - 50 Tea Bags,Lipton,EGP 17.95,183 verified ratings,4.7/5
166,HM Collection Leather Oud - EDT - For Men - 30 ML,HM Collection,EGP 44.00,12 verified ratings,4/5
167,Bundle Of (12) Women Ankle Socks For Women,(167 verified ratings),EGP 49.99,167 verified ratings,3.4/5
168,Karimed Keraview Keratin Shampoo Argan Oil For Weak And Damaged Hair 350ml,Karimed,EGP 18.00,47 verified ratings,3.9/5
169,Starville Whitening Whitening Roll On - 60ml,Starville Whitening,EGP 90.00,,
170,Ariel Powder Lavender Detergent 5 Kilogram,Ariel,EGP 236.90,18 verified ratings,4.1/5
171,Embrator Bundle Of Three Breathable Half Sleeves Cotton Undershirts - White,Embrator,EGP 159.99,729 verified ratings,4.3/5
172,Fern Pure Butter Ghee - 1400g,Fern,EGP 338.25,,
173,Mesery Bundle Of Six Solid Slip On Underwear,Mesery,EGP 129.99,1640 verified ratings,4.2/5
174,Star Ethyl Alcohol 70 % - 1 Liter,Star,EGP 36.00,32 verified ratings,4.1/5
175,American Eagle AE Thermal,American Eagle,EGP 225.00,24 verified ratings,4.8/5
176,American Eagle Classic Fit Oxford Button-Up Shirt,American Eagle,EGP 400.00,239 verified ratings,4.5/5
177,General Men's Winter Stretch Melton Comfortable 1018/Gray,General,EGP 230.00,,
178,Star Pasta Vermicelli - 1kg,Star,EGP 17.25,124 verified ratings,4.6/5
179,St Ives Moisturizer Renewing Collagen Elastin - 283 G,St Ives,EGP 175.00,452 verified ratings,4.5/5
180,Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,Mesery,EGP 99.99,128 verified ratings,3.8/5
181,Hairy Grow Hair Tonic Oil Moroccan Argan With Vitamins-Set Of 2- 100 Ml,Hairy Grow,EGP 180.00,192 verified ratings,4.1/5
182,Karimed SNOW SHINE Micellar Water 2Pcs. Makeup Remover 100ML,Karimed,EGP 56.00,10 verified ratings,4.7/5
183,American Eagle Classic Fit Oxford Button-Up Shirt,American Eagle,EGP 400.00,151 verified ratings,4.5/5
184,Abu Auf light Turkish Coffee - 100Gm,Abu Auf,EGP 26.88,260 verified ratings,4.4/5
185,Karimed HI BEAUTY Leave In Lotion 150ML Spray One Minute Repair,Karimed,EGP 69.00,18 verified ratings,4.1/5
186,NIVEA Fresh Natural Deodorant Spray - For Women - 150ml,NIVEA,EGP 45.00,838 verified ratings,4.5/5
187,Nail Care Personal Manicure & Pedicure Set - 12Pcs,(78 verified ratings),EGP 99.96,78 verified ratings,3.9/5
188,Dermatique Whitening Deodorant 40 ML,Dermatique,EGP 100.00,582 verified ratings,4.3/5
189,Karimed Brilliant Touch Shower Gel 1L With Moisturizer And Blueberry Scent,Karimed,EGP 26.00,132 verified ratings,4.1/5
190,Flash1 Boots For Women Black Suede,(714 verified ratings),EGP 179.00,714 verified ratings,4.2/5
191,SteriMax Antiseptic Soap - 1 Liter,SteriMax,EGP 44.90,19 verified ratings,4.7/5
192,Karimed Brilliant Touch Hand Wash 6 Pcs. With Moisturizer 90ML,Karimed,EGP 39.90,4 verified ratings,4/5
193,"Lama Wide Leg Pants- For Women, Black Color",Lama,EGP 95.00 - EGP 125.00,1479 verified ratings,4/5
194,Ho Holland Men's Polo Shirt - Multi Color,Ho Holland,EGP 194.00,402 verified ratings,4.1/5
